score,parameters
0.997,n_clusters: 5 affinity: euclidean
0.997,n_clusters: 5 affinity: l1
0.997,n_clusters: 5 affinity: l2
0.997,n_clusters: 6 affinity: euclidean
0.997,n_clusters: 6 affinity: l1
0.997,n_clusters: 6 affinity: l2
0.997,n_clusters: 7 affinity: euclidean
0.997,n_clusters: 7 affinity: l1
0.997,n_clusters: 7 affinity: l2
0.998,n_clusters: 8 affinity: euclidean
0.998,n_clusters: 8 affinity: l1
0.998,n_clusters: 8 affinity: l2
0.997,n_clusters: 9 affinity: euclidean
0.997,n_clusters: 9 affinity: l1
0.997,n_clusters: 9 affinity: l2
0.994,n_clusters: 10 affinity: euclidean
0.994,n_clusters: 10 affinity: l1
0.994,n_clusters: 10 affinity: l2
