score,parameters
0.6576923076923077,"{'leaf_size': 5, 'n_neighbors': 15}"
0.6613876319758674,"{'leaf_size': 5, 'n_neighbors': 20}"
0.6184766214177978,"{'leaf_size': 5, 'n_neighbors': 30}"
0.614630467571644,"{'leaf_size': 5, 'n_neighbors': 31}"
0.6069381598793363,"{'leaf_size': 5, 'n_neighbors': 32}"
0.6107843137254902,"{'leaf_size': 5, 'n_neighbors': 33}"
0.6106334841628959,"{'leaf_size': 5, 'n_neighbors': 34}"
0.6224736048265461,"{'leaf_size': 5, 'n_neighbors': 35}"
0.6144796380090499,"{'leaf_size': 5, 'n_neighbors': 36}"
0.6069381598793363,"{'leaf_size': 5, 'n_neighbors': 32}"
0.6107843137254902,"{'leaf_size': 5, 'n_neighbors': 39}"
0.6576923076923077,"{'leaf_size': 6, 'n_neighbors': 15}"
0.6613876319758674,"{'leaf_size': 6, 'n_neighbors': 20}"
0.6184766214177978,"{'leaf_size': 6, 'n_neighbors': 30}"
0.614630467571644,"{'leaf_size': 6, 'n_neighbors': 31}"
0.6069381598793363,"{'leaf_size': 6, 'n_neighbors': 32}"
0.6107843137254902,"{'leaf_size': 6, 'n_neighbors': 33}"
0.6106334841628959,"{'leaf_size': 6, 'n_neighbors': 34}"
0.6224736048265461,"{'leaf_size': 6, 'n_neighbors': 35}"
0.6144796380090499,"{'leaf_size': 6, 'n_neighbors': 36}"
0.6069381598793363,"{'leaf_size': 6, 'n_neighbors': 32}"
0.6107843137254902,"{'leaf_size': 6, 'n_neighbors': 39}"
0.6576923076923077,"{'leaf_size': 4, 'n_neighbors': 15}"
0.6613876319758674,"{'leaf_size': 4, 'n_neighbors': 20}"
0.6184766214177978,"{'leaf_size': 4, 'n_neighbors': 30}"
0.614630467571644,"{'leaf_size': 4, 'n_neighbors': 31}"
0.6069381598793363,"{'leaf_size': 4, 'n_neighbors': 32}"
0.6107843137254902,"{'leaf_size': 4, 'n_neighbors': 33}"
0.6106334841628959,"{'leaf_size': 4, 'n_neighbors': 34}"
0.6224736048265461,"{'leaf_size': 4, 'n_neighbors': 35}"
0.6144796380090499,"{'leaf_size': 4, 'n_neighbors': 36}"
0.6069381598793363,"{'leaf_size': 4, 'n_neighbors': 32}"
0.6107843137254902,"{'leaf_size': 4, 'n_neighbors': 39}"
0.6576923076923077,"{'leaf_size': 7, 'n_neighbors': 15}"
0.6613876319758674,"{'leaf_size': 7, 'n_neighbors': 20}"
0.6184766214177978,"{'leaf_size': 7, 'n_neighbors': 30}"
0.614630467571644,"{'leaf_size': 7, 'n_neighbors': 31}"
0.6069381598793363,"{'leaf_size': 7, 'n_neighbors': 32}"
0.6107843137254902,"{'leaf_size': 7, 'n_neighbors': 33}"
0.6106334841628959,"{'leaf_size': 7, 'n_neighbors': 34}"
0.6224736048265461,"{'leaf_size': 7, 'n_neighbors': 35}"
0.6144796380090499,"{'leaf_size': 7, 'n_neighbors': 36}"
0.6069381598793363,"{'leaf_size': 7, 'n_neighbors': 32}"
0.6107843137254902,"{'leaf_size': 7, 'n_neighbors': 39}"
0.6576923076923077,"{'leaf_size': 8, 'n_neighbors': 15}"
0.6613876319758674,"{'leaf_size': 8, 'n_neighbors': 20}"
0.6184766214177978,"{'leaf_size': 8, 'n_neighbors': 30}"
0.614630467571644,"{'leaf_size': 8, 'n_neighbors': 31}"
0.6069381598793363,"{'leaf_size': 8, 'n_neighbors': 32}"
0.6107843137254902,"{'leaf_size': 8, 'n_neighbors': 33}"
0.6106334841628959,"{'leaf_size': 8, 'n_neighbors': 34}"
0.6224736048265461,"{'leaf_size': 8, 'n_neighbors': 35}"
0.6144796380090499,"{'leaf_size': 8, 'n_neighbors': 36}"
0.6069381598793363,"{'leaf_size': 8, 'n_neighbors': 32}"
0.6107843137254902,"{'leaf_size': 8, 'n_neighbors': 39}"
0.6576923076923077,"{'leaf_size': 9, 'n_neighbors': 15}"
0.6613876319758674,"{'leaf_size': 9, 'n_neighbors': 20}"
0.6184766214177978,"{'leaf_size': 9, 'n_neighbors': 30}"
0.614630467571644,"{'leaf_size': 9, 'n_neighbors': 31}"
0.6069381598793363,"{'leaf_size': 9, 'n_neighbors': 32}"
0.6107843137254902,"{'leaf_size': 9, 'n_neighbors': 33}"
0.6106334841628959,"{'leaf_size': 9, 'n_neighbors': 34}"
0.6224736048265461,"{'leaf_size': 9, 'n_neighbors': 35}"
0.6144796380090499,"{'leaf_size': 9, 'n_neighbors': 36}"
0.6069381598793363,"{'leaf_size': 9, 'n_neighbors': 32}"
0.6107843137254902,"{'leaf_size': 9, 'n_neighbors': 39}"
